Restaurant,City,Google Places ID,TPV 90 Days,Red Flags,Cohort,email? 
Pint Brothers,Denver,ChIJIVIEP2GbIcR_jgqSOF0Yfw,$0.00,0 Checkins; No Bill.com,BB1,
Restaurant Olivia,Denver,ChIJhX90ku9bIcRdBE6VQRav6g,$0.00,0 Checkins; No Bill.com,BB1,
Spice Room,Denver,ChIJ76sGhuHa4cR8E9lfgYNG2o,$0.00,0 Checkins; No Bill.com,BB1,
Spice Room,Denver,ChIJ76sGhuHa4cR8E9lfgYNG2o,$0.00,0 Checkins; No Bill.com,BB1,
Tacos Tequila Whiskey,Denver,ChIJf4b8dxp5bIcRSiXR0HEQ7xU,$0.00,0 Checkins; No Bill.com,BB1,
Tap & Burger,Denver,ChIJMxG526KHbIcRH8Qv62Ug5I0,$0.00,0 Checkins; No Bill.com,BB1,
Tap & Burger,Denver,ChIJMxG526KHbIcRH8Qv62Ug5I0,$0.00,0 Checkins; No Bill.com,BB1,
The Counter at Odell's,Denver,ChIJ96H_sqh5bIcR0x4LDwxYZNU,$0.00,No Bill.com,BB1,
Mister Oso,Denver,ChIJb5FzHxHta4cReR_gXny0wDs,$11.00,Account Healthy,BB1,
Catbird Kitchen,Denver,ChIJb5O0PRB5bIcRfoGf0CQ7tTw,$59.00,No Bill.com,BB1,
Luchador taco & more,Denver,ChIJUXazLgB5bIcRUIZorL4LMFU,$91.00,No Bill.com,BB1,
Carissa's Bakery,East Hampton,,$0.00,0 Checkins; No Bill.com,BB2,
Carissa's Bakery,East Hampton,,$0.00,0 Checkins; No Bill.com,BB2,
Carissa's Bakery,East Hampton,,$0.00,0 Checkins; No Bill.com,BB2,
Carissa's Bakery,East Hampton,,$0.00,0 Checkins; No Bill.com,BB2,
Carissa's Bakery,East Hampton,,$0.00,0 Checkins; No Bill.com,BB2,
Amélie Cafe,Fairfax,ChIJOfCgTy6XhYARwvFlBSyBpLQ,$0.00,0 Checkins; No Bill.com,BB1,
Sandwich Monkey,Foster City,ChIJX2apKgCBhYARX5H5uwaQ8TU,$0.00,0 Checkins; No Bill.com,BB1,
Happy Tuna,Happy Tuna Storefront,ChIJCZT1d3BZwokRRxKdusrnfjs,$0.00,No Bill.com,BB2,
Piazza D'Angelo,Mill Valley,ChIJ92XhhHKQhYARQJKMRUUQvKM,$0.00,0 Checkins; No Bill.com,BB1,
Dive Bar Pizza  Slice Counter,Montauk,ChIJu0_07FZV74kRhDxteFg83aU,$0.00,No Bill.com,BB2,
Left Hand Coffee  Montauk Beach House,Montauk,ChIJd_zAM1ZT74kRFQxh_BxPjgM,$0.00,No Bill.com,BB2,
Montauk Project,Montauk,ChIJz7zqG0r6IkRgvGPKqBgWA,$0.00,No Bill.com,BB1,
Montauk Beach House Bar & Grill,Montauk,ChIJ_VSf40pT74kRmhiiphHELDk,$40.00,No Bill.com,BB1,
NICO | Oysters + Seafood,Mt Pleasant,,$0.00,0 Checkins; No Bill.com,BB1,
ABCV,New York,ChIJxXrbJaJZwokRAAEnPk3AJh4,$0.00,0 Checkins; No Bill.com,BB1,
Aldo Sohm Wine Bar,New York,ChIJFbIdkvhYwokRAicwcVjJ2io,$0.00,No Bill.com,BB1,
Balzem,New York,,$0.00,TPV ↓ 20%+; No Bill.com,BB1,
Bananas,New York,ChIJh43rLABZwokRptygQo5eTTI,$0.00,No Bill.com,BB1,
Bar Calico,New York,ChIJlTFBjXZZwokRnbuW1LhdX4Y,$0.00,No Bill.com,BB1,
Bar Revival,New York,ChIJi7he5vpZwokRpyaPR5yZplY,$0.00,No Bill.com,BB1,
Bathtub Gin,New York,ChIJcTnRKLlZwokRT8ZXt9W9cgw,$0.00,No Bill.com,BB1,
Binondo,New York,ChIJJ2QQsQZbwokRSzQz15m3FWc,$0.00,0 Checkins; No Bill.com,BB1,
Black Tap Craft Burgers & Beer,New York,ChIJX7vhtP5ZwokRPkmCmUg4ZIU,$0.00,No Bill.com,BB1,
Black Tap Craft Burgers & Beer,New York,ChIJX7vhtP5ZwokRPkmCmUg4ZIU,$0.00,No Bill.com,BB1,
Blackbird,New York,,$0.00,0 Checkins; No Bill.com,BB2,
Blackbird × Cowy Burger,New York,,$0.00,0 Checkins; No Bill.com,BB2,
Bottino,New York,,$0.00,No Bill.com,BB1,
Broken Shaker,New York,ChIJTTtwCEFZwokRB8wxT3vyYdU,$0.00,No Bill.com,BB1,
Cafe Luna,New York,,$0.00,No Bill.com,BB1,
Casa Bond,New York,ChIJd8pdjVxZwokR_RjQDyZRy6M,$0.00,No Bill.com,BB1,
CHILI 美麗,New York,ChIJJS3mqONZwokR9KlP3H_7MNg,$0.00,No Bill.com,BB1,
Do Not Feed Alligators,New York,ChIJx3Lned1ZwokRHpVK3qlZZMA,$0.00,No Bill.com,BB2,
Festival Cafe,New York,,$0.00,No Bill.com,BB1,
FLYBAR (QSR),New York,,$0.00,No Bill.com,BB2,
gab's,New York,,$0.00,0 Checkins; No Bill.com,BB1,
Good Behavior,New York,ChIJz0SfutVZwokRR7lu57Oq7S4,$0.00,0 Checkins; No Bill.com,BB1,
Good Behavior,New York,ChIJz0SfutVZwokRR7lu57Oq7S4,$0.00,No Bill.com,BB1,
Happy Tuna,New York,ChIJCZT1d3BZwokRRxKdusrnfjs,$0.00,No Bill.com,BB2,
Happy Tuna,New York,ChIJCZT1d3BZwokRRxKdusrnfjs,$0.00,No Bill.com,BB2,
Hello Hello Bar & Cafe,New York,ChIJoQCFtV1ZwokR0pMve3jbJHA,$0.00,No Bill.com,BB1,
Hortus,New York,ChIJyXWBOZZwokRROjVTDdgeZE,$0.00,0 Checkins; No Bill.com,BB1,
Hudson Club,New York,ChIJZ49dwcNZwokRtUHt_n4BYME,$0.00,No Bill.com,BB1,
Jake's Dilemma,New York,ChIJc6GIBIZYwokRd_xjvFrHhbU,$0.00,No Bill.com,BB1,
Kabin,New York,,$0.00,0 Checkins; No Bill.com,BB3,
Kjun,New York,,$0.00,0 Checkins; No Bill.com,BB1,
Koloman,New York,ChIJUUBMchNZwokRwDOHIFhOIHA,$0.00,0 Checkins; No Bill.com,BB1,
La Noxe,New York,ChIJpy4I5A1ZwokRkeVFxbwI2f8,$0.00,No Bill.com,BB1,
Laliko,New York,ChIJr15tlpJZwokRG4lyRntq3cw,$0.00,No Bill.com,BB1,
Lobby Bar,New York,ChIJ9Xkow4NZwokRRdEq8ppSDI4,$0.00,No Bill.com,BB3,
Maman,New York,ChIJL8_mB4lZwokR9RPJzSCMrmw,$0.00,No Bill.com,BB2,
Ninepin Cafe,New York,ChIJ7bbO2aFZwokRxdTCPXI0hFQ,$0.00,No Bill.com,BB2,
Nom Wah,New York,,$0.00,No Bill.com,BB2,
Novita,New York,,$0.00,No Bill.com,BB1,
Privy's Pancakes,New York,ChIJCWnJ7aFZwokRyVzSo17ajM,$0.00,No Bill.com,BB1,
Shy’s Burgers at Blackbird Club at Parcelle,New York,,$0.00,0 Checkins; TPV ↓ 20%+; No Bill.com,BB2,
Sona,New York,,$0.00,0 Checkins; No Bill.com,BB1,
Sound Booth (at Port Sa'id),New York,ChIJtc2oTDJZwokRQiktCdsm9VE,$0.00,No Bill.com,BB1,
Tartare Worldwide,New York,,$0.00,No Bill.com,BB1,
The Puttery,New York,,$0.00,No Bill.com,BB1,
The Stand  Comedy Club,New York,ChIJgWBWFaBZwokRfOWdBPY5Y0o,$0.00,0 Checkins; No Bill.com,BB1,
The Stand  Restaurant,New York,ChIJgWBWFaBZwokRfOWdBPY5Y0o,$0.00,0 Checkins; No Bill.com,BB1,
FLYBAR (Square),New York,,$5.00,TPV ↓ 20%+; No Bill.com,BB2,
Off the Wagon,New York,ChIJjz4VKJJZwokROQSktDtYo9k,$15.00,No Bill.com,BB1,
FLYBAR,New York,,$32.00,No Bill.com,BB1,
Ace's Pizza,New York,ChIJvcKC7PxZwokRYgo9FMn7HZ8,$36.00,TPV ↓ 20%+; No Bill.com,BB1,
Mijo,New York,ChIJVRQIjcBZwokRnHusgu4kso,$52.00,No Bill.com,BB2,
Downtown Social,New York,ChIJf0AsgTxZwokRiE7wZTUENp0,$61.00,No Bill.com,BB1,
The Gin Mill,New York,ChIJRyfaCIZYwokRd1gVsI1fa0Q,$64.00,No Bill.com,BB1,
Bateman's,New York,ChIJgd6UABZwokRNjlNh8FpSbA,$80.00,Account Healthy,BB3,
Founding Member,NY,,$5.00,No Bill.com,BB1,
Cybelle's Pizza,Oakland,ChIJ6fYXxauHj4AR4K9hHf4GzQo,$0.00,0 Checkins; No Bill.com,BB1,
Scott's Seafood Grill & Bar,Oakland,ChIJPZgYK8aAj4ARaDsas8rwD1g,$0.00,0 Checkins; No Bill.com,BB1,
Dada,Ridgewood,ChIJZ1Gl8MVdwokRp57IOudKGXY,$0.00,No Bill.com,BB1,
Doubles,Sag Harbor,ChIJxU5E7NG96IkR9V2_Tz5I2Bc,$0.00,No Bill.com,BB2,
54 Mint Cucina Romana,San Francisco,,$0.00,TPV ↓ 20%+; No Bill.com,BB1,
Amarena,San Francisco,ChIJM7I8HemAhYARjCsAkDZd_D8,$0.00,No Bill.com,BB1,
ANINA,San Francisco,ChIJT4jAdqKAhYARKd4aDzZ7Quc,$0.00,No Bill.com,BB3,
